"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_365_length_1549_cov_1.461957_2",12.9779896560317,-3.58835484106466,0.845315722576764,-4.2449876953978,2.18605416603247e-05,0.000424429468122836
"NODE_370_length_1534_cov_1.343857_3",59.9767445078332,1.84726731906559,0.338680506604766,5.45430658996067,4.91643133484925e-08,1.87877911724596e-06
"NODE_386_length_1520_cov_0.641026_1",19.6200643178823,2.71068140957787,0.633964731847666,4.27576058005261,1.90485850058187e-05,0.000380576501257332
"NODE_453_length_1437_cov_1.608088_1",53.3328802743232,1.64606379565555,0.334220857557903,4.92507800884442,8.43267063023873e-07,2.43133587332931e-05
"NODE_479_length_1387_cov_7.654962_1",17.9659401741972,-2.11672743374146,0.609682213944508,-3.47185367282851,0.000516877988436164,0.00605559403258349
"NODE_489_length_1380_cov_0.866462_1",23.7003900745413,1.71888736338217,0.529862910902715,3.24402279913072,0.00117854312474773,0.0118966145611328
"NODE_506_length_1362_cov_1.211673_1",10.2385127729322,4.27018886377986,1.06444075917761,4.0116735731531,6.02898254368228e-05,0.000997579070372171
"NODE_507_length_1359_cov_2.227769_1",32.6071666557422,1.85237567728798,0.439539124008387,4.21435903224086,2.50488545551379e-05,0.000467595100904124
"NODE_517_length_1344_cov_1.385951_1",55.4242660596737,2.79886423779688,0.379674145080587,7.37175357885591,1.68398078149485e-13,1.47424862961776e-11
"NODE_518_length_1343_cov_1.095577_1",6.83861726684495,-6.28708382406118,1.45106174375006,-4.33274728049346,1.47260115574139e-05,0.000308883962930451
"NODE_518_length_1343_cov_1.095577_2",5.13371335310285,-5.87829195255406,1.53126117876375,-3.83885651518957,0.00012360863553546,0.0018369616669853
"NODE_529_length_1329_cov_0.851438_1",7.7129810480229,4.44814439232581,1.28120482412257,3.47184486709385,0.000516894942345133,0.00605559403258349
"NODE_571_length_1289_cov_0.497115_1",5.82570533239881,-6.05894885770395,1.48889855376603,-4.06941684668738,4.7130956901724e-05,0.000813389094916849
