"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NODE_2_length_26201_cov_35.941625_6",2.08572324361998,2.34888952030755,1.88862348982375,1.24370449322683,0.213608341700554,0.518932474918349
"NODE_2_length_26201_cov_35.941625_7",2.74095773842068,0.818646825416752,1.43460363042265,0.570643213258545,0.568241519576922,0.832395167862148
"NODE_2_length_26201_cov_35.941625_8",62.872419974843,-0.0210831618970872,0.294942577861164,-0.0714822595298925,0.943013943280406,0.980038086779841
"NODE_2_length_26201_cov_35.941625_9",11.190920481022,0.391284678077904,0.72655272243528,0.538549600043318,0.590197671916596,0.840105282935811
"NODE_2_length_26201_cov_35.941625_10",6.89630539546606,0.0568102094943258,0.854252558022975,0.0665028263138054,0.946977507620038,0.98121297593942
"NODE_2_length_26201_cov_35.941625_11",0.180905521423394,0.907793524837727,4.0804728567969,0.222472629201687,0.823945978129614,NA
"NODE_2_length_26201_cov_35.941625_12",36.4619965561077,0.703426312207306,0.403521576129536,1.74321858809725,0.0812954397450439,0.293089912479674
"NODE_2_length_26201_cov_35.941625_13",6.311213711669,0.876038766105975,1.02567091617221,0.854112905312109,0.393042434022989,0.713646291700373
"NODE_2_length_26201_cov_35.941625_14",13.6839010009938,-0.156411890806495,0.626319392924512,-0.249731834226227,0.802794737892898,0.926084314888549
"NODE_2_length_26201_cov_35.941625_15",0,NA,NA,NA,NA,NA
"NODE_2_length_26201_cov_35.941625_16",0,NA,NA,NA,NA,NA
"NODE_3_length_17292_cov_16.853993_1",56.1656152481411,-0.0907876170192411,0.336157279930923,-0.270074820446837,0.787102692920984,0.919655293961305
"NODE_3_length_17292_cov_16.853993_2",1.78603983884774,2.16169734823607,1.89710495427385,1.13947166885319,0.254506478402023,0.575868746948187
"NODE_3_length_17292_cov_16.853993_3",8.5315733668353,0.388392637723156,0.82245343053372,0.472236631648693,0.636757895568711,0.859609703366651
"NODE_3_length_17292_cov_16.853993_4",3.82730051482368,-1.26204071460232,1.36849632130305,-0.922209796954833,0.356419153867218,0.685366703622466
"NODE_3_length_17292_cov_16.853993_5",2.82729372850436,-0.561712936072565,1.43489310565783,-0.391466746796477,0.695452263675909,0.887627092418446
